행사장,정류장,행사장_지역,정류장_지역,귀가행 소요시간,쿠션시간,행사장행_소요시간
인스파이어 아레나,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,70,20,90
인스파이어 아레나,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인스파이어 아레나,잠실역 제타플렉스 앞,인천광역시,서울특별시,100,20,120
인스파이어 아레나,합정역 8번출구 60M 앞,인천광역시,서울특별시,50,20,70
인스파이어 아레나,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,60,20,80
인천 상상플랫폼 야외광장,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,110,20,130
인천 상상플랫폼 야외광장,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인천 상상플랫폼 야외광장,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,80,20,100
인천 상상플랫폼 야외광장,영통역 1번 출구 앞,인천광역시,경기도,100,20,120
인천 상상플랫폼 야외광장,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,60,20,80
인천 상상플랫폼 야외광장,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,250,50,300
인천 상상플랫폼 야외광장,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,270,50,320
인천 상상플랫폼 야외광장,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,260,50,310
인천 상상플랫폼 야외광장,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인천 상상플랫폼 야외광장,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인천 상상플랫폼 야외광장,동래역 3번 출구 150M 앞,인천광역시,부산광역시,300,60,360
인천 상상플랫폼 야외광장,서면역 12번 출구 앞,인천광역시,부산광역시,320,60,380
인천 상상플랫폼 야외광장,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,90,20,110
인천 상상플랫폼 야외광장,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인천 상상플랫폼 야외광장,잠실역 제타플렉스 앞,인천광역시,서울특별시,110,20,130
인천 상상플랫폼 야외광장,합정역 8번출구 60M 앞,인천광역시,서울특별시,70,20,90
인천 상상플랫폼 야외광장,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,50,20,70
인천 파라다이스 시티,동탄역 2번출구 앞 버스정류장,인천광역시,경기도,100,20,120
인천 파라다이스 시티,미금역 4번 출구 앞 성남고용복지플러스센터,인천광역시,경기도,90,20,110
인천 파라다이스 시티,수원역 지하상가 13번출구 앞 공항버스 정류장,인천광역시,경기도,80,20,100
인천 파라다이스 시티,영통역 1번 출구 앞,인천광역시,경기도,100,20,120
인천 파라다이스 시티,중앙역 2번출구 앞 횡단보도,인천광역시,경기도,70,20,90
인천 파라다이스 시티,유스퀘어 광주종합버스터미널 건너편 외갓집국밥 앞,인천광역시,광주광역시,240,50,290
인천 파라다이스 시티,반월당역 18번 출구 더현대 대구 앞,인천광역시,대구광역시,270,50,320
인천 파라다이스 시티,용산역 5번 출구 뒤 20m,인천광역시,대구광역시,250,50,300
인천 파라다이스 시티,대전 복합터미널 건너편 대덕약국,인천광역시,대전광역시,200,30,230
인천 파라다이스 시티,대전 시청역 4번출구 앞,인천광역시,대전광역시,220,30,250
인천 파라다이스 시티,동래역 3번 출구 150M 앞,인천광역시,부산광역시,310,60,370
인천 파라다이스 시티,서면역 12번 출구 앞,인천광역시,부산광역시,330,60,390
인천 파라다이스 시티,노원역 와우패션클럽 망고식스 앞,인천광역시,서울특별시,80,20,100
인천 파라다이스 시티,서울역 15번 출구 도보 150M 윤슬공원 앞,인천광역시,서울특별시,70,20,90
인천 파라다이스 시티,잠실역 제타플렉스 앞,인천광역시,서울특별시,110,20,130
인천 파라다이스 시티,합정역 8번출구 60M 앞,인천광역시,서울특별시,50,20,70
인천 파라다이스 시티,부평역 7번 출구 노브랜드버거 앞,인천광역시,인천광역시,60,20,80
